Date,Susceptible,Infected,Recovered,Fatal
2022-08-21,1308271508.0,240587,43577865,527368
2022-08-22,1308262922.0,229769,43597221,527416
2022-08-23,1308252274.0,221707,43615895,527452
2022-08-24,1308241550.0,232395,43615895,527488
2022-08-25,1308231295.0,213726,43644751,527556
2022-08-26,1308221775.0,207214,43660742,527597
2022-08-27,1308212340.0,200247,43676987,527754
2022-08-28,1308204749.0,191282,43693498,527799
2022-08-29,1308204749.0,175536,43709244,527799
2022-08-30,1308204749.0,161486,43723294,527799
2022-08-31,1308184135.0,167104,43738178,527911
2022-09-01,1308177967.0,163951,43747478,527932
2022-09-02,1308170749.0,162627,43755987,527965
2022-09-03,1308163940.0,156875,43768522,527991
2022-09-04,1308158031.0,147062,43784228,528007
2022-09-05,1308153614.0,138221,43797463,528030
2022-09-06,1308150815.0,129498,43808958,528057
2022-09-07,1308141841.0,128945,43818452,528090
2022-09-08,1308135748.0,126469,43826990,528121
2022-09-09,1308130195.0,121392,43837602,528139
2022-09-10,1308125119.0,115769,43848290,528150
2022-09-11,1308119898.0,110788,43858477,528165
2022-09-12,1308118116.0,103071,43867956,528185
2022-09-13,1308110422.0,101456,43877234,528216
2022-09-14,1308104001.0,100297,43884780,528250
2022-09-15,1308097703.0,106572,43884780,528273
2022-09-16,1308091956.0,112290,43884780,528302
2022-09-17,1308086293.0,97416,43905282,528337
2022-09-18,1308081435.0,96109,43911429,528355
2022-09-19,1308077392.0,92952,43918614,528370
2022-09-20,1308075471.0,88057,43925397,528403
2022-09-21,1308067440.0,90169,43931290,528429
2022-09-22,1308062058.0,91137,43935684,528449
2022-09-23,1308057146.0,93239,43938456,528487
2022-09-24,1308052369.0,89052,43947397,528510
2022-09-25,1308048241.0,87098,43953459,528530
2022-09-26,1308045011.0,84761,43958994,528562
2022-09-27,1308041396.0,83289,43964059,528584
2022-09-28,1308037124.0,82328,43969265,528611
2022-09-29,1308033178.0,84494,43971027,528629
2022-09-30,1308029373.0,80610,43978690,528655
2022-10-01,1308025998.0,77580,43985077,528673
2022-10-02,1308022987.0,74288,43991352,528701
2022-10-03,1308021019.0,70523,43997070,528716
2022-10-04,1308018594.0,67303,44002698,528733
2022-10-05,1308016023.0,65022,44007538,528745
2022-10-06,1308014026.0,62982,44011566,528754
2022-10-07,1308011229.0,63867,44013454,528778
2022-10-08,1308008473.0,58597,44021459,528799
2022-10-09,1308006050.0,55643,44026821,528814
2022-10-10,1308004093.0,52718,44031695,528822
2022-10-11,1308004093.0,47951,44036449,528835
2022-10-12,1307999009.0,48915,44040557,528847
2022-10-13,1307996331.0,48385,44043755,528857
2022-10-14,1307993901.0,47205,44047348,528874
2022-10-15,1307991501.0,45339,44051593,528895
2022-10-16,1307989441.0,43461,44055521,528905
2022-10-17,1307987899.0,41216,44059300,528913
2022-10-18,1307985953.0,39795,44062657,528923
2022-10-19,1307983812.0,38933,44065640,528943
2022-10-20,1307981693.0,39089,44067593,528953
2022-10-21,1307979581.0,38789,44070001,528957
2022-10-22,1307977587.0,38220,44072560,528961
2022-10-23,1307976254.0,37549,44074548,528977
2022-10-24,1307975392.0,35635,44077321,528980
2022-10-25,1307974562.0,33729,44080056,528981
2022-10-26,1307973450.0,32427,44082464,528987
2022-10-27,1307971242.0,32687,44084400,528999
2022-10-28,1307969668.0,34239,44084413,529008
2022-10-29,1307968074.0,30766,44089472,529016
2022-10-30,1307966738.0,29426,44092140,529024
2022-10-31,1307965692.0,28006,44094553,529077
2022-11-01,1307964502.0,25442,44096932,530452
2022-11-02,1307964404.0,23481,44098982,530461
2022-11-03,1307961965.0,24368,44100516,530479
2022-11-04,1307960884.0,23506,44102452,530486
2022-11-05,1307959752.0,22503,44104573,530500
2022-11-06,1307958827.0,21310,44106682,530509
2022-11-07,1307958827.0,19202,44108790,530509
2022-11-08,1307958827.0,17212,44110780,530509
2022-11-09,1307958827.0,15895,44112097,530509
2022-11-10,1307954310.0,19542,44112956,530520
2022-11-11,1307953477.0,19538,44113785,530528
2022-11-12,1307952748.0,19158,44114891,530531
2022-11-13,1307952196.0,17513,44117087,530532
2022-11-14,1307951730.0,16413,44118652,530533
2022-11-15,1307951220.0,15335,44120238,530535
2022-11-16,1307950585.0,14631,44121566,530546
2022-11-17,1307950585.0,13816,44122374,530553
2022-11-18,1307948804.0,15491,44122463,530570
2022-11-19,1307948312.0,15883,44122559,530574
2022-11-20,1307947906.0,13952,44124884,530586
2022-11-21,1307947612.0,13167,44125958,530591
2022-11-22,1307947252.0,12404,44127076,530596
2022-11-23,1307946844.0,11891,44127992,530601
2022-11-24,1307946504.0,12228,44127992,530604
2022-11-25,1307946110.0,12618,44127992,530608
2022-11-26,1307945765.0,12959,44127992,530612
2022-11-27,1307945474.0,8742,44132498,530614
2022-11-28,1307945259.0,8131,44133323,530615
2022-11-29,1307944985.0,7674,44134049,530620
2022-11-30,1307944689.0,7417,44134600,530622
2022-12-01,1307944414.0,7225,44135065,530624
2022-12-02,1307944162.0,6966,44135573,530627
2022-12-03,1307943936.0,6574,44136190,530628
2022-12-04,1307943710.0,6791,44136197,530630
2022-12-05,1307943546.0,5195,44137954,530633
2022-12-06,1307943380.0,4868,44138442,530638
2022-12-07,1307943139.0,4706,44138836,530647
2022-12-08,1307942890.0,4660,44139125,530653
2022-12-09,1307942680.0,4514,44139480,530654
2022-12-10,1307942507.0,4280,44139883,530658
2022-12-11,1307942507.0,3943,44140220,530658
2022-12-12,1307942234.0,3826,44140610,530658
2022-12-13,1307942082.0,3637,44140951,530658
2022-12-14,1307941882.0,3543,44141240,530663
2022-12-15,1307941720.0,3491,44141454,530663
2022-12-16,1307941553.0,3385,44141723,530667
2022-12-17,1307941377.0,3262,44142017,530672
2022-12-18,1307941242.0,3122,44142290,530674
2022-12-19,1307941130.0,2982,44142539,530677
2022-12-20,1307940998.0,2886,44142764,530680
2022-12-21,1307940813.0,2846,44142988,530681
2022-12-22,1307940650.0,2839,44143149,530690
2022-12-23,1307940449.0,2878,44143310,530691
2022-12-24,1307940222.0,2871,44143542,530693
2022-12-25,1307940035.0,2813,44143785,530695
2022-12-26,1307939869.0,2769,44143994,530696
2022-12-27,1307939681.0,2788,44144163,530696
2022-12-28,1307939413.0,3054,44144163,530698
2022-12-29,1307939170.0,3023,44144436,530699
2022-12-30,1307938944.0,3094,44144588,530702
2022-12-31,1307938679.0,3161,44144783,530705
2023-01-01,1307938506.0,3170,44144945,530707
2023-01-02,1307938372.0,3141,44145108,530707
2023-01-03,1307938197.0,3145,44145279,530707
2023-01-04,1307938009.0,3197,44145412,530710
2023-01-05,1307937781.0,3312,44145521,530714
2023-01-06,1307937567.0,3393,44145650,530718
2023-01-07,1307937404.0,3370,44145834,530720
2023-01-08,1307937234.0,3385,44145988,530721
2023-01-09,1307937113.0,3305,44146188,530722
2023-01-10,1307936942.0,3251,44146413,530722
2023-01-11,1307936745.0,3262,44146598,530723
2023-01-12,1307936571.0,3269,44146763,530725
2023-01-13,1307936392.0,3259,44146951,530726
2023-01-14,1307936288.0,3097,44147217,530726
2023-01-15,1307936174.0,2969,44147459,530726
2023-01-16,1307936085.0,2835,44147682,530726
2023-01-17,1307935957.0,2699,44147944,530728
2023-01-18,1307935823.0,2662,44148115,530728
2023-01-19,1307935678.0,2673,44148249,530728
2023-01-20,1307935547.0,2627,44148424,530730
2023-01-21,1307935407.0,2579,44148609,530733
2023-01-22,1307935313.0,2447,44148833,530735
2023-01-23,1307935224.0,2324,44149043,530737
2023-01-24,1307935122.0,2265,44149204,530737
2023-01-25,1307934990.0,2227,44149373,530738
2023-01-26,1307934891.0,2205,44149493,530739
2023-01-27,1307934798.0,2127,44149664,530739
2023-01-28,1307934689.0,2039,44149860,530740
2023-01-29,1307934609.0,1947,44150032,530740
2023-01-30,1307934543.0,1835,44150210,530740
2023-01-31,1307934432.0,1842,44150314,530740
2023-02-01,1307934304.0,1855,44150428,530741
2023-02-02,1307934205.0,1865,44150517,530741
2023-02-03,1307934077.0,1863,44150643,530745
2023-02-04,1307933964.0,1842,44150777,530745
2023-02-05,1307933873.0,1788,44150922,530745
2023-02-06,1307933784.0,1748,44151051,530745
2023-02-07,1307933688.0,1706,44151188,530746
2023-02-08,1307933579.0,1721,44151280,530748
2023-02-09,1307933466.0,1745,44151367,530750
2023-02-10,1307933466.0,1643,44151469,530750
2023-02-11,1307932109.0,2869,44151600,530750
2023-02-12,1307931903.0,2974,44151698,530753
2023-02-13,1307931829.0,2955,44151791,530753
2023-02-14,1307931727.0,2946,44151899,530756
2023-02-15,1307931601.0,2991,44151979,530757
2023-02-16,1307931444.0,3082,44152045,530757
2023-02-17,1307931327.0,3088,44152156,530757
2023-02-18,1307931185.0,3100,44152283,530760
2023-02-19,1307931065.0,3120,44152382,530761
2023-02-20,1307930970.0,3091,44152506,530761
2023-02-21,1307930845.0,3102,44152619,530762
2023-02-22,1307930652.0,3203,44152710,530763
2023-02-23,1307930486.0,3279,44152799,530764
2023-02-24,1307930303.0,3367,44152894,530764
2023-02-25,1307930085.0,3473,44153001,530769
2023-02-26,1307929900.0,3546,44153112,530770
2023-02-27,1307929731.0,3714,44153112,530771
2023-02-28,1307929491.0,2596,44154469,530772
2023-03-01,1307929223.0,2661,44154672,530772
2023-03-02,1307928940.0,2870,44154746,530772
2023-03-03,1307928606.0,3102,44154845,530775
2023-03-04,1307928282.0,3301,44154970,530775
2023-03-05,1307928001.0,3425,44155127,530775
2023-03-06,1307927735.0,3574,44155244,530775
2023-03-07,1307927409.0,3761,44155383,530775
2023-03-08,1307927030.0,4020,44155502,530776
2023-03-09,1307926590.0,4362,44155597,530779
2023-03-10,1307926590.0,4238,44155721,530779
2023-03-11,1307926590.0,4046,44155913,530779
2023-03-12,1307926590.0,3881,44156078,530779
2023-03-13,1307926590.0,3698,44156261,530779
2023-03-14,1307926590.0,3485,44156474,530779
2023-03-15,1307926590.0,3301,44156658,530779
2023-03-16,1307926590.0,3133,44156826,530779
2023-03-17,1307926590.0,2894,44157065,530779
2023-03-18,1307926590.0,2626,44157333,530779
2023-03-19,1307926590.0,2343,44157616,530779
2023-03-20,1307926590.0,2012,44157947,530779
2023-03-21,1307926590.0,1688,44158271,530779
2023-03-22,1307926590.0,1407,44158552,530779
2023-03-23,1307926590.0,1141,44158818,530779
2023-03-24,1307926590.0,815,44159144,530779
2023-03-25,1307926590.0,437,44159522,530779
