Date,Susceptible,Infected,Recovered,Fatal
2024-02-01,33709638.0,179282,26336748,196092
2024-02-02,33709161.0,179076,26337415,196108
2024-02-03,33708715.0,178968,26337957,196120
2024-02-04,33708400.0,178723,26338509,196128
2024-02-05,33708234.0,178332,26339058,196136
2024-02-06,33707623.0,176248,26341735,196154
2024-02-07,33707177.0,176098,26342321,196164
2024-02-08,33706780.0,175831,26342971,196178
2024-02-09,33706436.0,175561,26343574,196189
2024-02-10,33706090.0,175571,26343882,196217
2024-02-11,33705905.0,175334,26344301,196220
2024-02-12,33705784.0,175005,26344742,196229
2024-02-13,33705329.0,173926,26346256,196249
2024-02-14,33704956.0,173734,26346814,196256
2024-02-15,33704673.0,173636,26347186,196265
2024-02-16,33704430.0,173496,26347560,196274
2024-02-17,33704201.0,173326,26347950,196283
2024-02-18,33704043.0,173174,26348258,196285
2024-02-19,33703948.0,172888,26348635,196289
2024-02-20,33703561.0,172566,26349335,196298
2024-02-21,33703349.0,172257,26349846,196308
2024-02-22,33703143.0,172151,26350150,196316
2024-02-23,33702972.0,172322,26350150,196316
2024-02-24,33702806.0,172287,26350340,196327
2024-02-25,33702707.0,172200,26350524,196329
2024-02-26,33702627.0,172094,26350708,196331
2024-02-27,33702396.0,171879,26351141,196344
2024-02-28,33702249.0,171809,26351354,196348
2024-02-29,33702096.0,171549,26351763,196352
2024-03-01,33701932.0,171506,26351963,196359
2024-03-02,33701765.0,171439,26352191,196365
2024-03-03,33701697.0,171402,26352294,196367
2024-03-04,33701649.0,171280,26352462,196369
2024-03-05,33701386.0,171232,26352768,196374
2024-03-06,33701251.0,171145,26352985,196379
2024-03-07,33701135.0,171053,26353189,196383
2024-03-08,33700887.0,171167,26353316,196390
2024-03-09,33700771.0,171142,26353450,196397
2024-03-10,33700688.0,171119,26353555,196398
2024-03-11,33700633.0,171089,26353638,196400
2024-03-12,33700512.0,170748,26354087,196413
2024-03-13,33700397.0,170653,26354290,196420
2024-03-14,33700248.0,170608,26354479,196425
2024-03-15,33700090.0,170161,26355078,196431
2024-03-16,33699990.0,170155,26355180,196435
2024-03-17,33699921.0,170138,26355265,196436
2024-03-18,33699878.0,170111,26355334,196437
2024-03-19,33699714.0,170056,26355547,196443
2024-03-20,33699617.0,169978,26355719,196446
2024-03-21,33699507.0,169959,26355840,196454
2024-03-22,33699420.0,169934,26355950,196456
2024-03-23,33699333.0,169929,26356039,196459
2024-03-24,33699259.0,169921,26356119,196461
2024-03-25,33699213.0,169779,26356306,196462
2024-03-26,33699099.0,169613,26356584,196464
2024-03-27,33699015.0,169593,26356686,196466
2024-03-28,33698950.0,169453,26356879,196478
2024-03-29,33698861.0,168845,26357574,196480
2024-03-30,33698782.0,168629,26357868,196481
2024-03-31,33698729.0,168646,26357904,196481
2024-04-01,33698699.0,168622,26357955,196484
2024-04-02,33698651.0,167653,26358971,196485
2024-04-03,33698511.0,166161,26360601,196487
2024-04-04,33698391.0,165804,26361076,196489
2024-04-05,33698310.0,165778,26361180,196492
2024-04-06,33698210.0,165813,26361245,196492
2024-04-07,33698162.0,165819,26361286,196493
2024-04-08,33698126.0,165791,26361348,196495
2024-04-09,33697958.0,165815,26361487,196500
2024-04-10,33697867.0,158340,26369051,196502
2024-04-11,33697781.0,158277,26369200,196502
2024-04-12,33697692.0,158049,26369515,196504
2024-04-13,33697641.0,157659,26369956,196504
2024-04-14,33697584.0,157663,26370008,196505
2024-04-15,33697551.0,157392,26370309,196508
2024-04-16,33697402.0,156531,26371318,196509
2024-04-17,33697325.0,156217,26371707,196511
2024-04-18,33697252.0,155695,26372300,196513
2024-04-19,33697167.0,155581,26372495,196517
2024-04-20,33697073.0,155594,26372576,196517
2024-04-21,33697009.0,155616,26372618,196517
2024-04-22,33696973.0,155611,26372658,196518
2024-04-23,33696885.0,155591,26372766,196518
2024-04-24,33696797.0,155611,26372834,196518
2024-04-25,33696740.0,155558,26372940,196522
2024-04-26,33696693.0,155571,26372971,196525
2024-04-27,33696582.0,155624,26373028,196526
2024-04-28,33696510.0,155623,26373101,196526
2024-04-29,33696462.0,155612,26373160,196526
2024-04-30,33696296.0,155673,26373265,196526
2024-05-01,33696181.0,155707,26373345,196527
2024-05-02,33696131.0,155703,26373398,196528
2024-05-03,33696015.0,155686,26373529,196530
2024-05-04,33695932.0,155680,26373618,196530
2024-05-05,33695863.0,155725,26373642,196530
2024-05-06,33695819.0,155716,26373695,196530
2024-05-07,33695679.0,155679,26373869,196533
2024-05-08,33695557.0,155713,26373954,196536
2024-05-09,33695425.0,155744,26374052,196539
2024-05-10,33695315.0,155775,26374128,196542
2024-05-11,33695222.0,155818,26374177,196543
2024-05-12,33695135.0,155857,26374225,196543
2024-05-13,33695079.0,155855,26374282,196544
2024-05-14,33694775.0,155958,26374476,196551
2024-05-15,33694632.0,156009,26374566,196553
2024-05-16,33694490.0,156036,26374681,196553
2024-05-17,33694380.0,156073,26374751,196556
2024-05-18,33694270.0,156092,26374841,196557
2024-05-19,33694181.0,156125,26374897,196557
2024-05-20,33694117.0,156124,26374961,196558
2024-05-21,33693933.0,156161,26375106,196560
2024-05-22,33693774.0,156221,26375204,196561
2024-05-23,33693626.0,156237,26375336,196561
2024-05-24,33693497.0,156273,26375426,196564
2024-05-25,33693351.0,156295,26375547,196567
2024-05-26,33693251.0,156332,26375609,196568
2024-05-27,33693161.0,156368,26375661,196570
