Date,Susceptible,Infected,Recovered,Fatal
2020-04-15,5305176.0,4557,2033,150
2020-04-16,5305020.0,4557,2187,152
2020-04-17,5304979.0,4436,2340,161
2020-04-18,5304880.0,4378,2494,164
2020-04-19,5304838.0,4265,2648,165
2020-04-20,5304760.0,4173,2802,181
2020-04-21,5304725.0,4053,2956,182
2020-04-22,5304578.0,4041,3110,187
2020-04-23,5304515.0,3943,3264,194
2020-04-24,5304453.0,3846,3418,199
2020-04-25,5304417.0,3726,3572,201
2020-04-26,5304389.0,3600,3726,201
2020-04-27,5304317.0,3514,3880,205
2020-04-28,5304256.0,3421,4033,206
2020-04-29,5304206.0,3316,4187,207
2020-04-30,5304178.0,3187,4341,210
2020-05-01,5304133.0,3078,4495,210
2020-05-02,5304107.0,2949,4649,211
2020-05-03,5304069.0,2833,4803,211
2020-05-04,5304012.0,2733,4957,214
2020-05-05,5303961.0,2629,5111,215
2020-05-06,5303920.0,2515,5265,216
2020-05-07,5303882.0,2399,5418,217
2020-05-08,5303846.0,2280,5572,218
2020-05-09,5303817.0,2154,5726,219
2020-05-10,5303811.0,2006,5880,219
2020-05-11,5303784.0,1874,6034,224
2020-05-12,5303759.0,1741,6188,228
2020-05-13,5303741.0,1604,6342,229
2020-05-14,5303720.0,1468,6496,232
2020-05-15,5303697.0,1337,6650,232
2020-05-16,5303679.0,1201,6804,232
2020-05-17,5303667.0,1059,6958,232
2020-05-18,5303659.0,913,7111,233
2020-05-19,5303649.0,769,7265,233
2020-05-20,5303635.0,628,7419,234
2020-05-21,5303607.0,501,7573,235
2020-05-22,5303584.0,370,7727,235
2020-05-23,5303570.0,352,7759,235
2020-05-24,5303564.0,327,7790,235
2020-05-25,5303552.0,307,7822,235
2020-05-26,5303533.0,295,7853,235
2020-05-27,5303515.0,281,7885,235
2020-05-28,5303505.0,258,7917,236
2020-05-29,5303494.0,238,7948,236
2020-05-30,5303479.0,221,7980,236
2020-05-31,5303476.0,192,8012,236
2020-06-01,5303470.0,167,8043,236
2020-06-02,5303461.0,143,8075,237
2020-06-03,5303439.0,134,8106,237
2020-06-04,5303412.0,128,8138,238
2020-06-05,5303394.0,135,8149,238
2020-06-06,5303385.0,133,8160,238
2020-06-07,5303369.0,138,8171,238
2020-06-08,5303355.0,140,8182,239
2020-06-09,5303340.0,144,8193,239
2020-06-10,5303322.0,151,8204,239
2020-06-11,5303308.0,151,8215,242
2020-06-12,5303296.0,152,8226,242
2020-06-13,5303288.0,150,8236,242
2020-06-14,5303285.0,142,8247,242
2020-06-15,5303269.0,147,8258,242
2020-06-16,5303256.0,149,8269,242
2020-06-17,5303224.0,169,8280,243
2020-06-18,5303208.0,173,8291,244
2020-06-19,5303190.0,180,8302,244
2020-06-20,5303174.0,185,8313,244
2020-06-21,5303171.0,177,8324,244
2020-06-22,5303165.0,168,8335,248
2020-06-23,5303144.0,178,8346,248
2020-06-24,5303128.0,182,8357,249
2020-06-25,5303128.0,171,8368,249
2020-06-26,5303084.0,204,8379,249
2020-06-27,5303070.0,207,8390,249
2020-06-28,5303061.0,205,8401,249
2020-06-29,5303054.0,202,8411,249
2020-06-30,5303037.0,207,8422,250
2020-07-01,5303020.0,212,8433,251
2020-07-02,5303014.0,207,8444,251
2020-07-03,5302995.0,215,8455,251
2020-07-04,5302990.0,209,8466,251
2020-07-05,5302986.0,202,8477,251
2020-07-06,5302980.0,197,8488,251
2020-07-07,5302969.0,197,8499,251
2020-07-08,5302966.0,189,8510,251
2020-07-09,5302951.0,192,8521,252
2020-07-10,5302942.0,190,8532,252
2020-07-11,5302939.0,182,8543,252
2020-07-12,5302935.0,175,8554,252
2020-07-13,5302932.0,166,8565,253
2020-07-14,5302915.0,172,8576,253
2020-07-15,5302905.0,172,8586,253
2020-07-16,5302901.0,164,8597,254
2020-07-17,5302891.0,162,8608,255
2020-07-18,5302888.0,154,8619,255
2020-07-19,5302888.0,143,8630,255
2020-07-20,5302882.0,138,8641,255
2020-07-21,5302863.0,146,8652,255
2020-07-22,5302857.0,141,8663,255
2020-07-23,5302831.0,156,8674,255
2020-07-24,5302824.0,137,8700,255
2020-07-25,5302805.0,130,8726,255
2020-07-26,5302799.0,110,8752,255
2020-07-27,5302784.0,115,8762,255
2020-07-28,5302766.0,124,8771,255
2020-07-29,5302744.0,136,8781,255
2020-07-30,5302708.0,163,8790,255
2020-07-31,5302676.0,185,8800,255
2020-08-01,5302663.0,189,8809,255
2020-08-02,5302648.0,194,8819,255
2020-08-03,5302582.0,250,8828,256
2020-08-04,5302554.0,268,8838,256
2020-08-05,5302507.0,306,8847,256
